Project name,Alternate name,Country,River,Latitude,Longitude,Function,Status,COD Year,Installed capacity MW,Mean annual energy GW,Max. Irrigation Area km2,Height M,Crest length M,Total storage (FSL) Million m3,Max reservoir area km2,No. displaced People,Est. cost Mil. US$
Unknown 18,,CHN,,22.362144,99.639722,ID,COMM,,,,,,,,,,
Unknown 19,,CHN,,21.91818,100.283063,ID,COMM,,,,,,,,,,
Unknown 20,,CHN,,21.911918,100.782319,WSD,COMM,,,,,,,,,,
Unknown 21,,CHN,,22.108351,100.92177,ID,COMM,,,,,,,,,,
Unknown 22,,CHN,,22.072775,100.950089,ID,COMM,,,,,,,,,,
Unknown 23,,CHN,,21.932523,101.005753,ID,COMM,,,,,,,,,,
Ban Kum,Ban Koum,LAO,Mekong,15.417881,105.587364,HPD,PLAN,2030-01-01T00:00:00Z,"1,872.00",8434,,53,780,,132.5,,
Dak E Mule,,LAO,Xe Kong,15.554859,107.071555,HPD,PLAN,2018-01-01T00:00:00Z,105,506,,103.2,622,,,,
Don Sahong,,LAO,Mekong,13.944139,105.955986,HPD,UCON,2019-01-01T00:00:00Z,256,2000,,25,"6,800",25,2.2,66,500
Houay Ho,,LAO,"Houayho, Xekong",15.059464,106.764377,HPD,COMM,1999-01-01T00:00:00Z,152.1,450,,79,,3530,37,"3,000",243
Houay Lamphan,Houay Lamphan Gnai,LAO,Xe Kong,15.356153,106.501106,HPD,COMM,2015-01-01T00:00:00Z,88,480,,77,74.5,140,9,,206
Houay Palai,,LAO,Palai,15.292563,106.040161,HPD,PLAN,,26,97,,,,,,,
Houay Por,Houay Po,LAO,Houay Por,15.545605,106.256763,HPD,UCON,,15,60,,6,,0.76,,,
Latsua,Phou Ngoy,LAO,Mekong,15.33146,105.582803,HPD,PLAN,2023-01-01T00:00:00Z,800,3504,,22,"1,300",,13,,
Luangprabang,,LAO,Mekong,20.06663,102.192339,HPD,PLAN,2030-01-01T00:00:00Z,"1,200.00",6500,,57.5,318,1589.5,72.39,"17,700",
Nam Ang,Nam Ang Tabeng,LAO,Nam Ang,15.123057,107.108486,HPD,PLAN,2022-01-01T00:00:00Z,41,183.3,,,,,,,
Nam Bak 1,,LAO,Nam Bak,18.755444,102.926787,HPD,PLAN,2020-01-01T00:00:00Z,160,744,,85,,250,,,124
Nam Bak 2,,LAO,Nam Bak,18.778706,103.071434,HPD,PLAN,2020-01-01T00:00:00Z,80,180,,,,,4.9,,
Nam Beng,,LAO,Nam Beng,19.946436,101.237563,HPD,COMM,2014-01-01T00:00:00Z,36,145.3,,25.5,84.8,3611,0.724,261,
Nam Bi 1,,LAO,Nam Kai,15.23565,107.515959,HPD,UCON,2021-01-01T00:00:00Z,50,210.06,,25,83.65,3,0.0273,,272
Nam Bi 2,,LAO,Nam Kai,15.212256,107.540761,HPD,UCON,2021-01-01T00:00:00Z,68,288.5,,47.5,182.5,10,0.64,,
Nam Bi 3,,LAO,Nam Bi,15.19787,107.513608,HPD,UCON,2021-01-01T00:00:00Z,12,51.2,,39.5,167,14,1.07,,
Nam Chian 1,,LAO,Nam Ngiep,19.145395,103.557259,HPD,UCON,2017-01-01T00:00:00Z,104,448.2,,68.8,367,,,,
Nam Dong,,LAO,Nam Dong,19.820416,102.104446,HPD,COMM,1970-01-01T00:00:00Z,1,4.8,,10,50,,,,
Nam Feuang 1,,LAO,Nam Feuang,18.928674,101.917917,HPD,PROP,,28,113.2,,77,215,,,,
Nam Feuang 2,,LAO,Nam Feuang,19.135145,101.938039,HPD,PROP,,15,,,,,,,,
Nam Hinboun 1,,LAO,Nam Hinboun,17.8341,104.511667,HPD,PROP,2020-01-01T00:00:00Z,45,173,,38,,,,"1,200",
Nam Hinboun 2,,LAO,Nam Hinboun,18.023739,104.425006,HPD,UCON,2019-01-01T00:00:00Z,13,155.2,,33,70,,,,
Nam Houg 1,,LAO,Nam Houg,19.189497,101.799519,HPD,UCON,,12.5,49.7,,,,,,,
Nam Houm,,LAO,Nam Houm,18.180479,102.466613,ID,COMM,1981-01-01T00:00:00Z,,,30,22,870,42,8.8,,
Nam Khan 1,,LAO,Nam Khan,19.782863,102.795466,HPD,PROP,2019-01-01T00:00:00Z,101.8,458.5,,64.1,484,,,,
Nam Khan 2,,LAO,Nam Khan,19.685364,102.369791,HPD,COMM,2015-01-01T00:00:00Z,130,225,,160,405,,30.568,,308.5
Nam Khan 3,,LAO,Nam Khan,19.747016,102.222793,HPD,COMM,2016-01-01T00:00:00Z,60,249.5,,90,260,,,"3,353",132.7
Nam Ko,,LAO,Nam Ko,20.78441,102.112879,HPD,COMM,1996-01-01T00:00:00Z,1.5,5,,6,38,,,,
Nam Kong 1,,LAO,Nam Kong,14.543884,106.744289,HPD,PLAN,2014-01-01T00:00:00Z,150,469,,85.3,379,0.68,21.8,"1,612",
Nam Kong 2,,LAO,Nam Kong,14.494672,106.856669,HPD,UCON,2021-01-01T00:00:00Z,66,264.4,,50,210,71.4,4.2,,
Nam Kong 3,,LAO,Nam Kong,14.566338,106.912551,HPD,UCON,2017-01-01T00:00:00Z,45,170.2,,,,50.5,,,
Nam Leng,,LAO,Nam Leng,21.508356,102.103473,HPD,PROP,2022-01-01T00:00:00Z,60,240,,,,,,,
Nam Leuk,,LAO,Nam Leuk/Nam Ngum,18.437406,102.94675,HPD,COMM,2000-01-01T00:00:00Z,60,215,,51.5,800,185,17.2,134,35.94
Nam Lik 1,,LAO,Nam Lik,18.619438,102.387252,HPD,UCON,2016-01-01T00:00:00Z,64,256,,36.5,72,,22.3,,124
Nam Lik 1-2,Nam Lik 2,LAO,Nam Lik,18.793782,102.116714,HPD,COMM,2010-01-01T00:00:00Z,100,435,,103,327.84,11.13,24.4,"3,127",
Nam Lik (Kenluang),,LAO,Nam Lik,19.031953,102.09044,HPD,PLAN,,15,82.54,,,,,,,
Nam Mang 1,,LAO,Nam Mang,18.53423,103.196286,HPD,COMM,2016-01-01T00:00:00Z,64,224.8,,70,280,16.52,0.148,,95
Nam Mang 3,,LAO,Nam Gnogn,18.349383,102.765244,HPD,COMM,2004-01-01T00:00:00Z,40,150,,28,151,49.43,10.2,"1,200",63
Nam Mouan,,LAO,Nam Theun,18.745355,104.269025,HPD,PROP,2020-01-01T00:00:00Z,110,452.2,,128,446,,,"1,200",
Nam Nga 1,,LAO,Nam Ou,20.281131,102.206903,HPD,PLAN,2022-01-01T00:00:00Z,53.7,298,,,,,,,
Nam Nga 2,,LAO,Nam Nga,20.292759,102.240491,HPD,UCON,2017-01-01T00:00:00Z,14.5,62.59,,70.5,245,157.7,,,30
Nam Ngao,,LAO,Nam Ou,20.231468,101.562574,HPD,PLAN,2019-01-01T00:00:00Z,12,72.7,,69,438.600006,,,,
Nam Ngiep 1,,LAO,Nam Ngiep,18.645857,103.551658,HPD,UCON,2019-01-01T00:00:00Z,272,1546,,167,530,1192,67,"1,609",640
Nam Ngiep 2,,LAO,Nam Ngiep,19.299877,103.352263,HPD,COMM,2015-01-01T00:00:00Z,180,732,,,,,,,345
Nam Ngiep 2A,,LAO,Nam Ngiep,19.172426,103.352502,HPD,PLAN,,13,30,,,,,,,
Nam Ngiep 2B,,LAO,Nam Ngiep,19.116134,103.326649,HPD,PLAN,,9,40,,,,,,,
Nam Ngiep 2C,,LAO,Nam Ngiep,19.21347,103.357806,HPD,UCON,2020-01-01T00:00:00Z,45,230,,,,,,,
Nam Ngeip 3A,,LAO,Nam Ngiep,19.243546,103.283913,HPD,COMM,2014-01-01T00:00:00Z,44,152.3,,,,,1.8,,
Nam Ngiep (Downstream),,LAO,Nam Ngiep,18.64747,103.516607,HPD,UCON,2019-01-01T00:00:00Z,18,105,,20,90,4.6,1.27,,
Nam Ngum 1,,LAO,Nam Ngum,18.531068,102.547577,HPD,COMM,1971-01-01T00:00:00Z,148.7,1006,,75,468,4700,370,"3,242",97
Nam Ngum 1 Extension,,LAO,Nam Ngum,18.527772,102.530765,HPD,UCON,2017-01-01T00:00:00Z,120,120,,,,,,,
Nam Ngum 2,,LAO,Nam Ngum,18.755374,102.776476,HPD,COMM,2011-01-01T00:00:00Z,615,2300,,181.5,421,3590,122.2,"6,000",
Nam Ngum 3,,LAO,Nam Ngum,19.084097,102.878817,HPD,UCON,2020-01-01T00:00:00Z,480,2345,,220,460,1316,25.6,523,"1,290"
Nam Ngum 4,,LAO,Nam Ngum,19.393238,102.930412,HPD,PLAN,,220,,,,,,,,322
Nam Ngum 5,,LAO,Nam Ngum,19.356095,102.621196,HPD,COMM,2012-01-01T00:00:00Z,120,507,,99,234.8,314,14.6,,200
Nam Nhon,Nam Ngon,LAO,Nam Nhon,20.427098,100.386185,HPD,COMM,,3,12,,,,,,,
Nam Ou 1,,LAO,Nam Ou,20.0883,102.265379,HPD,UCON,2020-01-01T00:00:00Z,160,710,,65,442,89.1,9.56,"3,080",
Nam Ou 2,,LAO,Nam Ou,20.411698,102.472817,HPD,COMM,2016-01-01T00:00:00Z,120,546,,49,352,121.7,15.7,700,300
Nam Ou 3,,LAO,Nam Ou,20.695251,102.665404,HPD,UCON,2020-01-01T00:00:00Z,150,685,,72,340,168.6,13.26,560,
Nam Ou 4,,LAO,Nam Ou,21.120153,102.494173,HPD,UCON,2020-01-01T00:00:00Z,116,524,,47,300,124,9.37,630,
Nam Ou 5,,LAO,Nam Ou,21.411349,102.344263,HPD,COMM,2016-01-01T00:00:00Z,240,1049,,74,,335,17.22,910,
Nam Ou 6,,LAO,Nam Ou,21.782563,102.195777,HPD,COMM,2016-01-01T00:00:00Z,180,739,,88,,409,17.01,210,
Nam Ou 7,,LAO,Nam Ou,22.07779,102.264436,HPD,UCON,2020-01-01T00:00:00Z,190,811,,147,825,1494,38.16,490,
Nam Pha,,LAO,Nam Pha,20.829363,100.633643,HPD,PLAN,2019-01-01T00:00:00Z,180,730,,139.1,614,,,480,
